hidden_size,hidden2_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,0,0.000462258900102083,0.00021233911067827617,200,32,0.8384615384615385,0.6216216216216216,0.7066666666666667,0.2073141634464264,74
16,0,2.5081156860452307e-05,0.0005142344384136116,200,16,0.49615384615384617,0.4864864864864865,0.5733333333333334,0.32211634516716003,200
16,8,1.7541893487450798e-05,0.0004951769101112702,100,16,0.4846153846153846,0.4594594594594595,0.5733333333333334,0.5984147191047668,100
8,0,0.0001569639638866114,0.0009218742350231169,100,64,0.48846153846153845,0.3783783783783784,0.5733333333333334,0.3184809684753418,100
8,4,1.4096175149815848e-05,0.0009868869366005174,200,16,0.4846153846153846,0.4594594594594595,0.5733333333333334,0.6529240012168884,200
4,0,4.589824181495648e-05,6.355835028602363e-05,100,16,0.4846153846153846,0.4864864864864865,0.56,0.8511462807655334,100
16,4,0.00011103647313054615,0.00042754101835854963,100,64,0.6076923076923076,0.43243243243243246,0.6,0.3070452809333801,100
8,0,3.797544798678414e-05,0.00016122128725400443,50,16,0.4807692307692308,0.4594594594594595,0.5733333333333334,0.3746262490749359,50
4,0,2.8567374298471872e-05,0.00042710778862625634,50,16,0.4846153846153846,0.4594594594594595,0.5733333333333334,1.07094144821167,50
8,0,5.336533066379606e-05,0.0009717820827209606,200,64,0.47307692307692306,0.4594594594594595,0.5733333333333334,0.34708136320114136,200
8,8,0.0006527969516700404,0.00023247315077141087,200,32,0.7461538461538462,0.5675675675675675,0.64,0.229303777217865,24
8,8,0.0007180493340227154,0.00024042109084244185,200,32,0.7615384615384615,0.5675675675675675,0.6266666666666667,0.22761397063732147,24
8,8,0.0009725246880332398,0.00027262896987203497,200,32,0.8,0.5675675675675675,0.6266666666666667,0.2285643070936203,23
8,8,0.000337662980932255,0.0006768180580956149,200,32,0.7846153846153846,0.5675675675675675,0.6266666666666667,0.22670219838619232,57
8,8,0.00028747825312464974,0.0007258063803339201,200,32,0.7576923076923077,0.5675675675675675,0.6266666666666667,0.22747834026813507,62
4,4,0.0003270814435193161,0.0006855046081289342,200,32,0.85,0.6486486486486487,0.64,0.23022277653217316,132
8,8,0.0003325929123218965,0.0007093157072184328,50,32,0.75,0.5945945945945946,0.64,0.22904808819293976,48
8,8,0.00021063979781445145,3.976783813828042e-06,200,32,0.7884615384615384,0.5945945945945946,0.64,0.22850655019283295,105
4,0,0.0004959375917925936,0.0006007773292620362,200,32,0.7653846153846153,0.5135135135135135,0.64,0.3292738199234009,85
16,4,9.029245888295042e-05,0.0008112327026125101,50,32,0.5384615384615384,0.4594594594594595,0.5866666666666667,0.3314644992351532,50
8,8,0.00046208530496926695,0.0003536953092671906,200,32,0.7846153846153846,0.5675675675675675,0.6266666666666667,0.22752298414707184,43
8,8,0.00019986536678540372,0.0007964786889421048,200,32,0.7846153846153846,0.5405405405405406,0.6266666666666667,0.2274078130722046,105
8,8,0.00018015227625233502,0.0008265225478682151,200,32,0.7730769230769231,0.5945945945945946,0.6266666666666667,0.22682777047157288,106
8,8,9.258653833972626e-05,0.0008482637318362527,200,32,0.7538461538461538,0.5945945945945946,0.6533333333333333,0.22985416650772095,200
8,8,0.00014344494048813784,0.0006178849248250609,200,32,0.7923076923076923,0.5405405405405406,0.64,0.2281024307012558,148
8,0,0.00024413984402503765,0.0008836251989462209,200,64,0.8153846153846154,0.6486486486486487,0.6533333333333333,0.21515612304210663,200
8,0,0.00047936914947317895,0.00059704467503944,200,64,0.823076923076923,0.6486486486486487,0.68,0.21050143241882324,124
8,0,0.000531148370420173,0.00013740306729154606,200,64,0.8269230769230769,0.6216216216216216,0.68,0.21159130334854126,124
16,0,0.0009406749439468357,0.00012832574143060364,100,64,0.75,0.6216216216216216,0.6933333333333334,0.22382569313049316,41
4,0,0.0004704728318506679,0.00015204478556841072,50,64,0.49615384615384617,0.5135135135135135,0.5733333333333334,0.6387037038803101,50
