hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,1.0994335574766187e-05,0.0009699098521619943,50,16,0.47924528301886793,0.5263157894736842,0.56,0.5330815315246582,50
4,3.8396292998041685e-05,0.0003663618432936917,100,32,0.5962264150943396,0.7631578947368421,0.76,0.20879559218883514,100
8,0.0008536189862866829,0.0008083973481164612,200,64,0.7735849056603774,0.7631578947368421,0.8133333333333334,0.20208385586738586,30
16,4.201672054372529e-05,0.0005200680211778109,50,32,0.5094339622641509,0.5263157894736842,0.5733333333333334,0.32988277077674866,50
16,1.2315571723666024e-05,0.00032533033076326436,50,16,0.5018867924528302,0.5263157894736842,0.5733333333333334,0.4110095500946045,50
16,0.0003503398491158688,0.0001987156815341724,200,32,0.7849056603773585,0.7894736842105263,0.8,0.18849702179431915,22
8,4.589824181495648e-05,6.355835028602363e-05,100,16,0.690566037735849,0.7105263157894737,0.8266666666666667,0.22508525848388672,100
16,0.0003482846706526881,0.0004937955963643907,100,16,0.769811320754717,0.7368421052631579,0.8133333333333334,0.18824665248394012,11
4,6.618595597183474e-05,0.0007555511385430487,100,32,0.7056603773584905,0.7631578947368421,0.8266666666666667,0.18661288917064667,100
16,0.0006097025297491432,0.0005393422419156508,50,16,0.7849056603773585,0.7894736842105263,0.8,0.18591861426830292,7
32,0.00019036906911441888,0.0006400885024675561,50,64,0.7471698113207547,0.7631578947368421,0.8133333333333334,0.2172645777463913,50
4,9.756377654499412e-05,0.0007384055447250207,100,32,0.7358490566037735,0.7368421052631579,0.84,0.18375089764595032,88
4,0.0001190791297663863,0.0007359307233974029,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.1814771443605423,41
4,0.00012324446691689978,0.000931026746026711,100,32,0.7320754716981132,0.7368421052631579,0.84,0.18366944789886475,66
4,0.00015454100949410202,0.000989554508011032,100,64,0.7320754716981132,0.7368421052631579,0.8533333333333334,0.1845778226852417,93
4,0.00015089512900106275,0.0008605829895293731,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.1813632994890213,33
32,0.0002727444268876221,0.0008439801017111948,100,16,0.7924528301886793,0.7631578947368421,0.7866666666666666,0.20763258635997772,17
4,2.2663652749490957e-05,0.0006623577006106498,200,16,0.7283018867924528,0.7368421052631579,0.8266666666666667,0.18190693855285645,200
4,7.442871168643719e-05,0.0008918728632135631,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18164625763893127,66
4,0.000211365546553159,0.0006524597769023285,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18131306767463684,24
32,0.00023606212046104188,0.0005656097645235558,200,16,0.7886792452830189,0.7368421052631579,0.7866666666666666,0.20853053033351898,20
4,0.00047981562165459366,0.0007016363242391908,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18057264387607574,10
4,0.0005169869155171712,0.0006799712775352777,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18051336705684662,9
4,0.0005107382399120226,0.0006302175990572724,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18056754767894745,9
4,0.0006673438249659347,0.0004397834489211582,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18001975119113922,7
4,0.0009455575401889423,0.0004224639210850049,100,64,0.7358490566037735,0.7368421052631579,0.84,0.18337661027908325,14
4,0.0005948323910552106,0.000301030493325267,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18048609793186188,8
4,0.000740504665380576,0.00024325381950594395,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.1804523468017578,6
8,0.0007233715485050891,0.0002883054578582482,200,16,0.7396226415094339,0.7368421052631579,0.8266666666666667,0.20464126765727997,10
32,0.0003715078062609576,0.00019502365813467925,100,16,0.7886792452830189,0.7631578947368421,0.7866666666666666,0.2082933932542801,12
